StudentsID,Block,Room_Number,Room_Status,Full_Name,TP_Number,Contact_Number,Email,Password,Date_Entered,Date_Exit
1,A,101,Occupied,Duncan Conner,TP056906,16671118-7572,id.risus.quis@placerat.edu,AQZ15HZX9QF,24/5/2021,1/10/2021
2,A,102,Vacant,,,,,,,
3,A,103,Vacant,,,,,,,
4,A,104,Vacant,,,,,,,
5,A,105,Occupied,Orson Wall,TP585537,16930701-2436,mollis.dui@consequat.org,NHS54OLL2MA,24/5/2021,1/10/2021
6,A,106,Occupied,Fletcher Odom,TP893427,16740622-7806,non.lacinia@ipsumprimisin.org,ODN59LQT5KM,24/5/2021,1/10/2021
7,A,107,Occupied,Harlan Cobb,TP397800,16870623-9814,laoreet.posuere@sapienmolestieorci.ca,GQI87LQQ3TY,24/5/2021,1/10/2021
8,A,108,Vacant,,,,,,,
9,A,109,Vacant,,,,,,,
10,A,110,Vacant,,,,,,,
11,A,201,Vacant,,,,,,,
12,A,202,Vacant,,,,,,,
13,A,203,Vacant,,,,,,,
14,A,204,Vacant,,,,,,,
15,A,205,Occupied,Hamish Montgomery,TP511831,16491127-2799,nulla.Cras.eu@Quisquetincidunt.org,CDM83QDU1ZG,24/5/2021,1/10/2021
16,A,206,Vacant,,,,,,,
17,A,207,Vacant,,,,,,,
18,A,208,Occupied,Silas Garcia,TP876517,16440407-5568,Cras.eget@consectetuer.co.uk,FHR92QWE3EN,24/5/2021,1/10/2021
19,A,209,Occupied,Nehru Smith,TP018809,16951229-4696,Etiam.ligula@Suspendissecommodotincidunt.edu,AFW65EKK0YZ,24/5/2021,1/10/2021
20,A,210,Vacant,,,,,,,
21,A,301,Vacant,,,,,,,
22,A,302,Vacant,,,,,,,
23,A,303,Vacant,,,,,,,
24,A,304,Vacant,,,,,,,
25,A,305,Vacant,,,,,,,
26,A,306,Vacant,,,,,,,
27,A,307,Occupied,Sean Dorsey,TP085611,16920517-2886,semper@vulputateullamcorpermagna.ca,MDL94DGE2YQ,24/5/2021,1/10/2021
28,A,308,Occupied,James Hoover,TP082570,16800514-1901,a.scelerisque@nondui.ca,PQX78SVN5WR,24/5/2021,1/10/2021
29,A,309,Occupied,Tanek Knight,TP004383,16731026-5447,dui.augue.eu@Maecenasmalesuada.org,KFZ29KIU4WJ,24/5/2021,1/10/2021
30,A,310,Vacant,,,,,,,
31,A,401,Vacant,,,,,,,
32,A,402,Occupied,Peter Cline,TP226128,16690505-9702,ornare.lectus.ante@Vivamusnonlorem.com,VFT04GLI9TF,24/5/2021,1/10/2021
33,A,403,Occupied,Harding Oneill,TP156430,16530108-5832,aliquam.eros@lobortisquis.ca,WWU35IKZ6QC,24/5/2021,1/10/2021
34,A,404,Occupied,Fariz Hassan,TP062951,013-2521229,farizhassan99@gmail.com,Ihavenoidea99,24/5/2021,1/10/2021
35,A,405,Occupied,Ross Oneil,TP001567,16121019-4252,massa@Seddiam.com,CUD23ULY2LT,24/5/2021,1/10/2021
36,A,406,Occupied,Aidan Ruiz,TP678134,16281203-6933,Etiam.laoreet.libero@lobortisClassaptent.org,WMB67HSI6EB,24/5/2021,1/10/2021
37,A,407,Occupied,Thane Soto,TP173873,16300605-1639,pharetra@uterosnon.edu,VUC45RFR0QT,24/5/2021,1/10/2021
38,A,408,Occupied,Dante Bailey,TP209767,16660117-5901,Nulla@temporbibendumDonec.org,OMD58EQL8CR,24/5/2021,1/10/2021
39,A,409,Vacant,,,,,,,
40,A,410,Vacant,,,,,,,
41,A,501,Vacant,,,,,,,
42,A,502,Occupied,Dale Palmer,TP357863,16090825-3040,hendrerit.a@Quisqueimperdieterat.edu,HFM59GBQ4JS,24/5/2021,1/10/2021
43,A,503,Occupied,Emmanuel Santiago,TP334281,16571220-4030,dolor.Nulla.semper@tristiquesenectus.edu,IZG48VJK4WS,24/5/2021,1/10/2021
